"","fitMeasures(Fit.26)"
"npar",77
"fmin",0.216858684470845
"chisq",442.391716320523
"df",112
"pvalue",0
"chisq.scaled",382.766961591645
"df.scaled",112
"pvalue.scaled",0
"chisq.scaling.factor",1.15577299169433
"baseline.chisq",8098.40447096382
"baseline.df",153
"baseline.pvalue",0
"baseline.chisq.scaled",6332.8976766294
"baseline.df.scaled",153
"baseline.pvalue.scaled",0
"baseline.chisq.scaling.factor",1.27878340760972
"cfi",0.958417256474742
"tli",0.943195002148532
"nnfi",0.943195002148532
"rfi",0.925375586503619
"nfi",0.945372978355591
"pnfi",0.692037735789713
"ifi",0.958630730822396
"rni",0.958417256474742
"cfi.scaled",0.956185850355483
"tli.scaled",0.940146742003472
"cfi.robust",0.960400478680091
"tli.robust",0.945904225339767
"nnfi.scaled",0.940146742003472
"nnfi.robust",0.945904225339767
"rfi.scaled",0.917433213557029
"nfi.scaled",0.93955895371495
"ifi.scaled",0.956474615776295
"rni.scaled",0.956185850355483
"rni.robust",0.960400478680091
"logl",-27169.7353906227
"unrestricted.logl",-26948.5395324625
"aic",54493.4707812454
"bic",54872.8927400289
"ntotal",1020
"bic2",54628.3334276574
"scaling.factor.h1",1.21668023347337
"scaling.factor.h0",1.30527258515198
"rmsea",0.0537781029002065
"rmsea.ci.lower",0.0485680136311068
"rmsea.ci.upper",0.0590899239497301
"rmsea.pvalue",0.114826099819072
"rmsea.scaled",0.0486842785457267
"rmsea.ci.lower.scaled",0.0437546584080711
"rmsea.ci.upper.scaled",0.0536976875281308
"rmsea.pvalue.scaled",0.659796804591178
"rmsea.robust",0.0523389504311754
"rmsea.ci.lower.robust",0.0466453070879967
"rmsea.ci.upper.robust",0.0581367227865081
"rmsea.pvalue.robust",NA
"rmr",0.060494782325365
"rmr_nomean",0.0635990524028235
"srmr",0.0334292775119729
"srmr_bentler",0.0334292775119729
"srmr_bentler_nomean",0.0351446853414097
"crmr",0.0350402724491066
"crmr_nomean",0.0369000146043885
"srmr_mplus",0.0334055046149679
"srmr_mplus_nomean",0.0349836636010056
"cn_05",318.49123674566
"cn_01",346.21768183027
"gfi",0.990990917724527
"agfi",0.98479717366014
"pgfi",0.58725387717009
"mfi",0.850478009296769
"ecvi",0.584697761098552
