"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"configural.attscreen",396,59671.447867166,60528.5195824924,1764.71463406829,NA,NA,NA,NA
"weak.attscreen",426,59715.1704264803,60421.8786829775,1868.43719338257,103.722559314281,0.0814964539737504,30,4.75364978029486e-10
"strong.attscreen",456,59896.9578253857,60453.3026230537,2110.22459228796,241.787398905391,0.138130177178387,30,5.79038007319584e-35
"strict.attscreen",492,59943.5493597134,60319.4580067863,2228.81612661565,118.591534327688,0.0787436704771679,36,9.58015401378107e-11
