"","x"
"npar",77
"fmin",0.276246109675643
"chisq",277.903586333697
"df",112
"pvalue",4.44089209850063e-16
"chisq.scaled",238.272286612188
"df.scaled",112
"pvalue.scaled",3.99958954844237e-11
"chisq.scaling.factor",1.16632777686821
"baseline.chisq",4140.69530161778
"baseline.df",153
"baseline.pvalue",0
"baseline.chisq.scaled",3220.22876853428
"baseline.df.scaled",153
"baseline.pvalue.scaled",0
"baseline.chisq.scaling.factor",1.28583886402035
"cfi",0.958396122625921
"tli",0.943166131801481
"nnfi",0.943166131801481
"rfi",0.908315845157775
"nfi",0.932884801684123
"pnfi",0.68289606397792
"ifi",0.958819524954623
"rni",0.958396122625921
"cfi.scaled",0.958831800253188
"tli.scaled",0.943761298560158
"cfi.robust",0.962658139964569
"tli.robust",0.948988351915884
"nnfi.scaled",0.943761298560158
"nnfi.robust",0.948988351915884
"rfi.scaled",0.898921167917692
"nfi.scaled",0.926007652331906
"ifi.scaled",0.959374841424001
"rni.scaled",0.958831800253188
"rni.robust",0.962658139964569
"logl",-13441.5099725517
"unrestricted.logl",-13302.5581793849
"aic",27037.0199451034
"bic",27362.0053882011
"ntotal",503
"bic2",27117.6007992208
"scaling.factor.h1",1.22202620300729
"scaling.factor.h0",1.30304209557323
"rmsea",0.0542668837656206
"rmsea.ci.lower",0.0462870059788291
"rmsea.ci.upper",0.0623209446761125
"rmsea.pvalue",0.183941205775903
"rmsea.scaled",0.0473435716677814
"rmsea.ci.lower.scaled",0.0396199670356463
"rmsea.ci.upper.scaled",0.0550558828011148
"rmsea.pvalue.scaled",0.70544420737587
"rmsea.robust",0.0511294743669686
"rmsea.ci.lower.robust",0.0421186531645555
"rmsea.ci.upper.robust",0.0601253718009331
"rmsea.pvalue.robust",NA
"rmr",0.0787126279218281
"rmr_nomean",0.0827517627183589
"srmr",0.040308883461736
"srmr_bentler",0.040308883461736
"srmr_bentler_nomean",0.0423773310857455
"crmr",0.0410231405550062
"crmr_nomean",0.0416282151227332
"srmr_mplus",0.0398836900128511
"srmr_mplus_nomean",0.0403205975533483
"cn_05",250.236928666713
"cn_01",272.002738918889
"gfi",0.988599151445713
"agfi",0.98076106806464
"pgfi",0.585836534190052
"mfi",0.847966539824061
"ecvi",0.858655241220074
