"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"configural.s",396,76127.8746101441,77029.9290767705,1638.97238861577,NA,NA,NA,NA
"weak.s",426,76366.2248260148,77110.0241230577,1937.32260448654,298.350215870764,0.136322448493817,30,5.596117051304e-46
"strong.s",456,76712.764414506,77298.3085419652,2343.86219297767,406.539588491129,0.161481109692355,30,1.33194187058794e-67
"strict.s",492,76819.5615025391,77215.199426498,2522.65928101076,178.797088033093,0.090779012883587,36,7.70006483656492e-21
