"","fitMeasures(Fit.mod1)"
"npar",85
"fmin",0.331624628483851
"chisq",676.514242107057
"df",145
"pvalue",0
"chisq.scaled",564.942482688649
"df.scaled",145
"pvalue.scaled",0
"chisq.scaling.factor",1.19749224538296
"baseline.chisq",9516.90235684713
"baseline.df",190
"baseline.pvalue",0
"baseline.chisq.scaled",7458.36002476434
"baseline.df.scaled",190
"baseline.pvalue.scaled",0
"baseline.chisq.scaling.factor",1.27600468806114
"cfi",0.94301277940185
"tli",0.925327090250699
"nnfi",0.925327090250699
"rfi",0.906853416721713
"nfi",0.928914449603413
"pnfi",0.708908395749973
"ifi",0.943286408471944
"rni",0.94301277940185
"cfi.scaled",0.942223213866973
"tli.scaled",0.924292487136034
"cfi.robust",0.94577821382257
"tli.robust",0.92895076293992
"nnfi.scaled",0.924292487136034
"nnfi.robust",0.92895076293992
"rfi.scaled",0.900746349382863
"nfi.scaled",0.92425379295008
"ifi.scaled",0.942578721508766
"rni.scaled",0.942223213866973
"rni.robust",0.94577821382257
"logl",-30258.2888142709
"unrestricted.logl",-29920.0316932173
"aic",60686.5776285418
"bic",61105.4200505754
"ntotal",1020
"bic2",60835.4519784771
"scaling.factor.h1",1.21714072787332
"scaling.factor.h0",1.25065872741568
"rmsea",0.0599478160553916
"rmsea.ci.lower",0.055429127167382
"rmsea.ci.upper",0.0645454723430801
"rmsea.pvalue",0.000171038750529595
"rmsea.scaled",0.0532857175896532
"rmsea.ci.lower.scaled",0.0490869510608901
"rmsea.ci.upper.scaled",0.0575499002745791
"rmsea.pvalue.scaled",0.0980572609853718
"rmsea.robust",0.0583105548026804
"rmsea.ci.lower.robust",0.0532864944508582
"rmsea.ci.upper.robust",0.0634203581369796
"rmsea.pvalue.robust",NA
"rmr",0.0698546704035641
"rmr_nomean",0.0731054220918916
"srmr",0.0372886173454016
"srmr_bentler",0.0372886173454016
"srmr_bentler_nomean",0.0390238714504127
"crmr",0.038483861752638
"crmr_nomean",0.0390101005595577
"srmr_mplus",0.0377275612361848
"srmr_mplus_nomean",0.0381415254342247
"cn_05",263.497060857173
"cn_01",283.744254863411
"gfi",0.987717649206308
"agfi",0.980517650465179
"pgfi",0.622691561456151
"mfi",0.770630554648203
"ecvi",0.829915923634369
