"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"configural.subscreen",396,59230.9486654589,60088.0203807853,1324.21543236123,NA,NA,NA,NA
"weak.subscreen",426,59268.2831806676,59974.9914371648,1421.54994756991,97.3345152086847,0.0778856375805125,30,4.87113559034896e-09
"strong.subscreen",456,59416.4911167834,59972.8359144514,1629.75788368568,208.207936115764,0.126707415013637,30,1.42675127372108e-28
"strict.subscreen",492,59423.0908543493,59798.9995014223,1708.35762125157,78.599737565889,0.0565524402297338,36,5.23763704442892e-05
