"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"configural.a",396,76649.8221658972,77551.8766325236,2160.91994436886,NA,NA,NA,NA
"weak.a",426,76855.3427209898,77599.1420180326,2426.44049946147,265.520555092606,0.127711736926546,30,1.49095233320259e-39
"strong.a",456,77233.2850340103,77818.8291614695,2864.38281248197,437.9423130205,0.168079899756784,30,5.69632026401613e-74
"strict.a",492,77446.0038118817,77841.6417358406,3149.10159035334,284.718777871372,0.119806413630335,36,1.92915151911261e-40
